tau,truncated,noise_scale,noisy_score
2.0,1808.0,58.133741660528834,1567.617742034322
4.0,3616.0,116.26748332105767,2844.4432030316816
8.0,7232.0,232.53496664211534,5790.5477496038175
16.0,14464.0,465.0699332842307,12242.841482133526
32.0,28928.0,930.1398665684613,23868.16111391097
64.0,57856.0,1860.2797331369227,47917.36532994324
128.0,115712.0,3720.5594662738454,94094.5178218619
256.0,231424.0,7441.118932547691,184466.96556955678
512.0,462848.0,14882.237865095381,406649.2109327865
1024.0,925511.7535,29764.475730190763,848750.0479265678
2048.0,1848096.3195,59528.951460381526,1457446.4447562164
4096.0,3684803.9298,119057.90292076305,3053245.5510524367
8192.0,7304914.2906,238115.8058415261,5830368.937338059
16384.0,14356318.6268,476231.6116830522,14366201.263405243
32768.0,27670782.1271,952463.2233661044,22590937.14276407
65536.0,50405679.2651,1904926.4467322088,38910639.881129324
131072.0,81707181.0415,3809852.8934644177,63926157.02201174
262144.0,107725111.2204,7619705.786928835,49348644.75553824
524288.0,114738641.6267,15239411.57385767,6952478.6765396595
1048576.0,114904912.5255,30478823.14771534,33980433.34841353
2097152.0,114904912.5255,60957646.29543068,-35720554.06792557
4194304.0,114904912.5255,121915292.59086137,-559956888.9426006
8388608.0,114904912.5255,243830585.18172273,-1727289563.9987688
