custkey,contribution
12473,661967.2212
7165,543423.872
1571,533743.8056
14375,494705.31419999996
4286,459897.8714
5195,436175.0727
12340,435648.341
13876,433450.5994
6994,426790.2552
14503,417762.4972
6832,412593.52509999997
5261,410159.9733
2264,407452.853
1223,407394.5208
904,394930.8848
13303,387013.9862
12898,386856.2184
5182,386829.8455
9865,384557.5906
2485,383448.94649999996
10195,374716.1846
419,372857.8584
8200,369860.5235
5717,366264.96129999997
12328,363371.9383
9556,362260.32389999996
7384,357290.77
3301,355369.0698
9212,354494.7318
9851,353164.9392
5753,351238.277
9064,350098.0081
1792,349181.7426
469,341869.5326
6634,340776.2472
11119,338592.8209
12964,335296.0601
1279,332075.5129
14065,328001.9936
662,327346.1887
14569,325848.78040000005
9139,324783.3115
7018,322859.293
13384,322405.0295
14230,321836.67809999996
1400,321075.581
11123,318429.0371
14518,317184.841
14659,316356.0428
9175,315784.7509
3364,315649.1814
7141,314967.07540000003
14944,313557.7225
13921,312788.3741
6226,311397.0162
1082,309151.2029
4753,309101.4094
8675,308715.66109999997
10501,308235.1429
5773,305388.60589999997
7948,304921.2694
5404,301179.8755
5983,300972.2105
8909,299913.5203
5531,299013.1745
9640,297752.4039
1036,297198.2216
4652,296216.9414
8461,294912.2877
5362,292395.74309999996
2656,291658.7658
5671,288091.1166
8624,288088.4537
11830,285489.28969999996
6563,283957.8779
7952,283002.8177
13894,282698.51269999996
4777,280765.5161
8713,279514.1361
6014,279216.8418
14900,278487.2113
9878,277541.5832
12017,276874.8503
3338,276759.2556
6607,276369.9917
7636,274121.1152
5788,273766.4076
13289,273729.3757
11467,273202.1736
13660,271756.6997
11821,271398.5566
3670,270641.8072
14701,270067.263
64,267900.8922
3709,267749.428
14824,266384.1722
4945,265599.5671
1180,263873.094
12422,263593.9505
13600,262979.3187
5515,261106.7739
10345,259927.02419999999
9982,258567.0032
3995,257616.4896
3380,255323.6726
14473,254801.5295
6253,252471.8258
5854,249226.0878
12404,243989.1795
9179,243306.55250000002
12517,243158.1675
4204,243066.7386
3904,242628.11879999997
7357,242350.0607
7123,241818.2222
10720,240996.4836
3542,240862.4604
13801,237117.3124
11035,236983.1196
5692,236940.9552
7271,236113.24509999997
8936,234858.4772
3310,233380.0835
8695,231479.6649
14096,228949.3483
9112,228911.4576
3160,228825.27240000002
13336,227212.4475
6631,227118.6482
9284,224078.537
8845,224046.44280000002
4499,224036.31519999998
1771,223946.5708
3500,223684.17010000002
7813,223216.3215
3056,222922.1126
3073,222010.9641
1532,221719.1786
7196,221203.2247
10429,220689.7234
12724,220024.3145
14057,219649.1238
14407,219613.1249
7534,218760.1838
11200,218712.03220000002
5194,218612.9342
9110,217020.9408
5560,216882.5897
1733,216808.1936
7147,216277.3884
10558,216083.8216
7277,215571.1219
1550,215341.8178
9577,214780.93349999998
9046,214038.0647
2128,213671.4388
7747,213276.0592
4469,212367.903
10360,212207.9523
9214,211579.92080000002
844,209583.1044
9223,209429.51429999998
3404,208532.8104
1013,208221.61179999998
11860,208102.5326
3659,207857.8039
12920,206145.9888
835,206099.0755
8096,205837.3842
5276,205772.39659999998
2002,205391.3606
5179,205349.94400000002
14570,204287.43600000002
12955,203148.2703
2437,201819.7781
1238,201152.5429
5326,201128.13569999998
6880,200908.50149999998
5543,200813.6888
2828,200524.7052
13993,200328.5478
6041,200063.40350000001
13280,199644.7382
14390,199456.3543
10634,198421.6782
7381,196451.9614
2494,195730.83599999998
11512,195624.35249999998
2219,195586.9947
220,195290.9295
12974,194922.5738
814,193246.7921
4574,193052.8198
1766,192761.0318
2245,191612.79859999998
7252,191181.75879999998
13825,191029.9239
11875,190742.2278
13981,190539.4309
4267,190201.2319
6223,189976.0465
13661,189661.3076
3602,189590.9984
10616,188836.2854
3704,188538.0183
2662,188496.5724
12130,187986.2302
328,187427.6378
11734,187045.75819999998
12688,186254.4815
12241,185810.3692
2434,185696.307
2177,185159.8166
12074,184205.3288
4085,184132.0894
7961,182832.98979999998
10108,182779.28269999998
3578,182363.4768
6040,181833.5056
8032,181646.2904
13844,180849.97379999998
13603,180029.5666
9413,180023.7659
14098,179834.6852
8644,179626.4352
4150,179425.9242
5318,178658.6926
3373,177345.8425
14492,177161.4208
2716,177017.7353
2728,176727.6359
229,176154.9494
10015,175984.2945
10159,174188.4866
13361,174043.4546
10408,173952.601
11699,173119.8761
6142,173020.7416
508,172311.32619999998
1345,171656.0811
3640,171415.2227
11852,171169.8554
188,171007.2608
14725,170840.8111
13669,169230.8117
6295,168897.08359999998
7720,168606.2882
14561,168081.8195
3971,167657.2575
8401,167059.2766
11695,166940.1484
2846,166432.0232
8131,166285.0203
3668,166281.1316
10954,166201.5777
13732,165914.0347
13277,165701.7334
2159,165107.631
6754,164186.3631
12565,164050.6278
5398,163860.14289999998
8965,163848.4823
14827,163587.8616
5930,163174.3582
10730,162574.9756
14707,161244.1117
608,161168.6981
2225,160790.60439999998
7598,160133.4062
6815,159878.3337
6211,159415.6391
10385,159364.3846
12655,158506.64419999998
13399,158451.5021
1963,158287.9626
10231,158021.0332
3320,157872.2658
763,156194.0112
11071,156103.9978
14698,155471.0376
7360,155395.89190000002
7274,155089.588
1483,154541.0786
3340,154529.19819999998
11269,154368.763
14074,154051.7664
13496,153505.1644
6059,153421.55
113,153150.86479999998
6215,152884.8423
13045,151934.11219999997
278,151761.2928
4550,151470.6478
8182,150871.3242
3302,149749.1544
14729,149637.1748
7421,149599.6612
7199,149230.2976
7702,148832.968
12638,148298.3445
8432,147725.2632
7657,147158.4988
9505,146974.8672
4270,146796.0788
98,146739.9098
3874,146355.9392
1447,145853.28459999998
2674,145809.5576
8842,145511.6834
542,145159.9723
6445,144993.88830000002
10321,144953.86609999998
7841,144402.3764
2053,144075.9707
11570,143733.49
14530,143352.7868
10049,143151.9289
580,142994.26
2047,142990.895
12076,142731.5098
10672,142549.0
6209,142471.1479
9656,142322.0196
14275,141410.7701
