tau,truncated,noise_scale,noisy_score
2.0,1310.0,58.133741660528834,1069.617742034322
4.0,2620.0,116.26748332105767,1848.4432030316816
8.0,5240.0,232.53496664211534,3798.5477496038175
16.0,10480.0,465.0699332842307,8258.841482133526
32.0,20960.0,930.1398665684613,15900.16111391097
64.0,41920.0,1860.2797331369227,31981.36532994324
128.0,83840.0,3720.5594662738454,62222.5178218619
256.0,167680.0,7441.118932547691,120722.96556955678
512.0,335360.0,14882.237865095381,279161.2109327865
1024.0,670582.1562,29764.475730190763,593820.4506265678
2048.0,1333894.8726,59528.951460381526,943244.9978562163
4096.0,2635548.3684,119057.90292076305,2003989.9896524367
8192.0,5153435.4562,238115.8058415261,3678890.102938059
16384.0,9809238.8634,476231.6116830522,9819121.50000524
32768.0,17630787.439,952463.2233661044,12550942.45466407
65536.0,26148964.0808,1904926.4467322088,14653924.696829323
131072.0,29768021.3033,3809852.8934644177,11986997.283811733
262144.0,30276617.6762,7619705.786928835,-28099848.788661767
524288.0,30276617.6762,15239411.57385767,-77509545.27396035
1048576.0,30276617.6762,30478823.14771534,-50647861.500886455
2097152.0,30276617.6762,60957646.29543068,-120348848.91722557
4194304.0,30276617.6762,121915292.59086137,-644585183.7919005
8388608.0,30276617.6762,243830585.18172273,-1811917858.8480687
