custkey,contribution
13126,210018.2632
14776,196011.0324
4615,193404.39419999998
2689,193005.9206
12373,188667.552
12067,183653.8542
10171,175355.58239999998
2929,162874.3724
7027,151892.4124
4915,147534.9663
9572,137433.1176
382,136928.529
7429,135752.3762
4030,129977.47799999999
11839,129452.29759999999
8383,129346.88439999998
4744,128025.6238
4843,125724.311
1922,123206.92319999999
3323,122317.0344
12688,122037.1826
14342,121853.00899999999
1928,121271.815
6452,120843.53399999999
6631,120184.7328
7048,120141.63059999999
14440,119779.632
8278,119662.4383
10843,118630.272
1273,115410.96919999999
3880,114238.74089999999
6718,114049.67429999998
14030,113595.3232
10579,112723.1127
2473,107439.468
8794,106383.0797
4987,106262.91
6836,105166.2814
12710,104913.3736
10441,103407.5651
7252,102951.86549999999
620,102775.834
12283,102681.35440000001
9755,102492.0558
12662,102164.51699999999
4642,102066.8995
6488,101874.5226
9850,101289.29499999998
13577,100827.50640000001
14167,97276.9399
4246,97085.3024
4196,96898.57
2804,96582.8735
5734,94247.6032
3419,90789.9852
4438,89038.6948
12971,88833.7892
9688,88649.30879999998
803,88367.961
5362,88132.67039999999
11797,87853.2883
11371,86791.48
3565,86053.3443
5593,85899.13639999999
6715,85510.6176
10679,85145.28
3607,84599.16440000001
2737,83858.1576
9302,83222.96579999999
14179,82778.6494
1370,82410.66279999999
13099,82282.07320000001
5741,81322.86
7997,81096.5925
5900,80824.06779999999
7510,80711.34839999999
4138,80597.16979999999
9725,80400.64
5677,80396.8768
5576,80389.89000000001
11948,80146.2816
9496,77738.424
11611,77322.726
6541,76760.8386
4930,76522.369
9014,76448.1206
10496,76284.572
5554,76150.85620000001
7588,75970.95
13325,75588.7916
5467,74853.33099999999
5824,74845.09120000001
1343,74702.3126
10219,74569.41320000001
2719,74042.966
214,73920.91
2305,73914.5532
14137,73904.5296
14659,73529.4
181,73030.1245
2896,72889.11839999999
1126,72864.99
5548,72820.3812
13153,72618.057
3322,72551.8159
6626,72316.5268
10960,71983.7118
11416,71946.288
7519,71895.87419999999
11612,71655.58499999999
7414,71536.8509
6745,71464.4776
3626,71410.49519999999
3224,71393.9136
6997,71296.113
6113,71061.74530000001
734,70812.2646
5140,70793.04320000001
14788,70539.4047
14066,70372.4912
11602,70190.12
2254,69973.77309999999
11497,69922.7108
7622,69701.1542
1712,69502.0476
5804,69188.3395
5692,68976.96299999999
11918,68960.768
5590,68886.8754
3689,68763.7056
5315,68751.14
3418,68696.81279999999
4456,68188.7884
5668,67794.6335
1618,67641.7365
2201,67631.96
2905,67284.22499999999
8119,67042.8304
6230,66876.53339999999
12986,66590.919
8482,66453.38249999999
9577,66212.1712
14176,65719.7016
5171,65664.1076
11660,65539.0044
13819,65387.098600000005
12508,65378.46
9545,64464.4992
13600,64423.2192
6406,64225.292400000006
3785,64121.933999999994
